clinic_name|clinic_link|id_doctor|doctor_specialization|doctor_experience
Стоматология «Денталия» на Савиных|https://prodoctorov.ru/tomsk/lpu/81503-stomatologiya-dentaliya-na-savinyh/|1|Стоматолог, стоматолог-ортопед, стоматолог-хирург|8
Стоматология «Денталия» на Савиных|https://prodoctorov.ru/tomsk/lpu/81503-stomatologiya-dentaliya-na-savinyh/|2|Детский стоматолог, стоматолог|6
Стоматология «Денталия» на Савиных|https://prodoctorov.ru/tomsk/lpu/81503-stomatologiya-dentaliya-na-savinyh/|3|Стоматолог|4
Стоматология «Денталия» на Савиных|https://prodoctorov.ru/tomsk/lpu/81503-stomatologiya-dentaliya-na-savinyh/|4|Стоматолог-гигиенист|18
Стоматология «Денталия» на Савиных|https://prodoctorov.ru/tomsk/lpu/81503-stomatologiya-dentaliya-na-savinyh/|5|Стоматолог-хирург, стоматолог-имплантолог, стоматолог-ортопед|10
Стоматология «Денталия» на Савиных|https://prodoctorov.ru/tomsk/lpu/81503-stomatologiya-dentaliya-na-savinyh/|6|Детский стоматолог, стоматолог-ортодонт|22
Стоматология «Денталия» на Савиных|https://prodoctorov.ru/tomsk/lpu/81503-stomatologiya-dentaliya-na-savinyh/|7|Стоматолог|3
Стоматология «Денталия» на Савиных|https://prodoctorov.ru/tomsk/lpu/81503-stomatologiya-dentaliya-na-savinyh/|8|Стоматолог|13
Стоматология «Денталия» на Савиных|https://prodoctorov.ru/tomsk/lpu/81503-stomatologiya-dentaliya-na-savinyh/|9|Стоматолог|2
Стоматология «Денталия» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/58829-stomatologiya-dentaliya-na-irkutskom-trakte/|0|Анестезиолог-реаниматолог|15
Стоматология «Денталия» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/58829-stomatologiya-dentaliya-na-irkutskom-trakte/|1|Детский стоматолог, стоматолог-ортодонт|6
Стоматология «Денталия» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/58829-stomatologiya-dentaliya-na-irkutskom-trakte/|2|Детский стоматолог, стоматолог|6
Стоматология «Денталия» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/58829-stomatologiya-dentaliya-na-irkutskom-trakte/|3|Стоматолог-ортопед|50
Стоматология «Денталия» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/58829-stomatologiya-dentaliya-na-irkutskom-trakte/|4|Стоматолог|3
Стоматология «Денталия» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/58829-stomatologiya-dentaliya-na-irkutskom-trakte/|5|Стоматолог-гигиенист|10
Стоматология «Денталия» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/58829-stomatologiya-dentaliya-na-irkutskom-trakte/|6|Стоматолог-хирург, стоматолог-имплантолог|9
Стоматология «Денталия» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/58829-stomatologiya-dentaliya-na-irkutskom-trakte/|7|Стоматолог-хирург, стоматолог|3
Стоматология «Денталия» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/58829-stomatologiya-dentaliya-na-irkutskom-trakte/|8|Стоматолог|3
Стоматология «Денталия» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/58829-stomatologiya-dentaliya-na-irkutskom-trakte/|9|Стоматолог|9
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|0|Детский стоматолог, стоматолог|20
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|1|Стоматолог, детский стоматолог|12
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|2|Стоматолог-ортодонт|31
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|3|Стоматолог-ортопед, стоматолог-имплантолог, стоматолог-хирург|21
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|4|Детский стоматолог, стоматолог-ортодонт|7
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|5|Стоматолог|20
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|6|Стоматолог-гигиенист|19
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|7|Стоматолог, стоматолог-имплантолог, стоматолог-ортопед, стоматолог-хирург|10
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|8|Стоматолог|6
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|9|Рентгенолог|6
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|10|Рентгенолог|5
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|11|Стоматолог|11
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|12|Анестезиолог-реаниматолог|15
«Уринг клиник»|https://prodoctorov.ru/tomsk/lpu/70033-uring-klinik/|13|Стоматолог-хирург|2
Стоматология «ЦСМ» на Хмельницкого|https://prodoctorov.ru/tomsk/lpu/71706-csm/|0|Стоматолог|17
Стоматология «ЦСМ» на Хмельницкого|https://prodoctorov.ru/tomsk/lpu/71706-csm/|1|Стоматолог|4
Стоматология «ЦСМ» на Хмельницкого|https://prodoctorov.ru/tomsk/lpu/71706-csm/|2|Стоматолог-гигиенист|15
Стоматология «Оптима»|https://prodoctorov.ru/tomsk/lpu/95987-optima/|0|Стоматолог|13
Стоматология «Оптима»|https://prodoctorov.ru/tomsk/lpu/95987-optima/|1|Стоматолог-ортопед, стоматолог-хирург|28
Стоматология «Оптима»|https://prodoctorov.ru/tomsk/lpu/95987-optima/|2|Стоматолог|24
Стоматология «Улыбка» на Смирнова|https://prodoctorov.ru/tomsk/lpu/65728-stomatologiya-ulybka-na-smirnova/|0|Стоматолог-имплантолог, стоматолог-ортопед, стоматолог-хирург|25
Стоматология «Улыбка» на Смирнова|https://prodoctorov.ru/tomsk/lpu/65728-stomatologiya-ulybka-na-smirnova/|1|Стоматолог-ортодонт|23
Стоматология «Улыбка» на Смирнова|https://prodoctorov.ru/tomsk/lpu/65728-stomatologiya-ulybka-na-smirnova/|2|Стоматолог|-
Стоматология «Улыбка» на Смирнова|https://prodoctorov.ru/tomsk/lpu/65728-stomatologiya-ulybka-na-smirnova/|3|Стоматолог|20
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|0|Стоматолог-гигиенист|17
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|1|Стоматолог-ортопед|10
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|2|Стоматолог|7
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|3|Стоматолог-ортодонт|4
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|4|Стоматолог|5
«Мастер Дент» на проспекте Фрунзе|https://prodoctorov.ru/tomsk/lpu/41183-master-dent-na-frunze/|5|Стоматолог|6
